Time,Trigger,AngleAnkl,AngleKnee,AngleHip,SpeedAnkl,SpeedKnee,SpeedHip,MedialGastrocnemius,VastusMedialis,GluteusMaximus,DiscretizedTrigger,DiscretizedMovement,DiscretizedMedialGastrocnemius,DiscretizedVastusMedialis,DiscretizedGluteusMaximus
100,0.18027,0.310147,0.392747,0.274581,0.307742,0.541648,0.564108,-17.5182,-12.5131,-11.9062,2,1,2,3,3
101,0.18027,0.310006,0.39263,0.275087,0.307036,0.541481,0.562301,-15.3764,-12.6812,-11.3228,2,1,3,3,3
102,0.18027,0.309854,0.392514,0.275651,0.30619,0.541197,0.56013,-12.9025,-14.5341,-10.7576,2,1,3,3,3
103,0.18018,0.309684,0.392392,0.276289,0.305231,0.540811,0.557461,-12.4631,-15.3999,-10.4099,2,1,3,2,3
104,0.18018,0.309503,0.392266,0.276945,0.304206,0.540444,0.554222,-13.9135,-14.7241,-10.6782,2,1,3,3,3
105,0.18018,0.309325,0.392139,0.277606,0.303075,0.540229,0.550371,-15.4349,-15.2132,-11.0469,2,1,3,2,3
106,0.18018,0.309161,0.392013,0.27821,0.301793,0.540206,0.546103,-15.825,-16.0045,-11.137,2,1,3,2,3
107,0.18027,0.308973,0.39188,0.278721,0.300412,0.540393,0.541713,-15.1275,-16.552,-10.814,2,1,3,2,3
108,0.18018,0.308719,0.391721,0.279161,0.299017,0.540811,0.536989,-15.8327,-16.3599,-10.6814,2,1,3,2,3
109,0.18018,0.308421,0.391534,0.279539,0.297664,0.541439,0.53164,-16.7922,-16.0091,-10.8725,2,1,3,2,3
110,0.18008,0.30811,0.391345,0.279889,0.296386,0.542187,0.52623,-17.0079,-17.1031,-10.9955,2,1,2,2,3
111,0.18018,0.307784,0.391186,0.280207,0.295242,0.542949,0.521731,-17.1819,-18.1861,-10.8714,2,1,2,2,3
112,0.18018,0.307422,0.391066,0.280482,0.294341,0.543648,0.51867,-18.6983,-17.9349,-10.6509,2,1,1,2,3
113,0.18027,0.307025,0.390999,0.280762,0.293766,0.544251,0.517062,-16.5152,-17.4732,-10.5695,2,1,3,2,3
114,0.18008,0.306633,0.390987,0.281066,0.29353,0.544739,0.516417,-14.2235,-17.4257,-10.4778,2,1,3,2,3
115,0.18018,0.30626,0.390994,0.281346,0.293563,0.545047,0.516238,-15.1122,-16.455,-10.0404,2,1,3,2,3
116,0.18027,0.30589,0.390986,0.281581,0.293745,0.545066,0.516503,-16.711,-14.5244,-9.48161,2,1,3,3,3
117,0.18027,0.305521,0.390946,0.281849,0.294036,0.544697,0.517178,-17.5682,-12.9247,-9.23499,2,1,2,3,3
118,0.18027,0.305174,0.390869,0.28223,0.294426,0.543912,0.518101,-16.8638,-11.7097,-9.24214,2,1,2,3,3
