# Name			size		URL
# inline_skating.dat    29900x15	http://www.mathematik.uni-marburg.de/~databionics/en/?q=tskm

# INLINE_SKATING: Activation of three muscles, foot contact signal, three angles, 
# and three angular velocities of professional inline speed skater during the last 
# 30s of a 3min exercise on a treadmill at 3.72 m/s sampled at 1kHz.

# Muscles: Medial Gastrocnemius, Vastus Medialis, Gluteus Maximus
# The original EMG signals were pre-amplified with a gain of 2500 and band-pass 
# filtered (low cut-off: 10 Hz, high cut-off: 700 Hz). A RMS of width 35ms was 
# used to determine the energy of the signal. The energy values were log 
# transformed to deemphasize very large values and achieve a more symmetric 
# distribution.

# Angles: ankle, knee, hip
# The angular displacement time series were low-pass filtered with a 2nd order 
# Butterworth filter to remove noise from the recording process. The cutoff 
# frequency was set to 20Hz for the ankle and knee sensor and to 10Hz for the 
# more noisy hip angle sensor. The numerical values were converted from the 
# measurement scale into degrees for a better interpretation. The angular 
# velocity was derived with a 2nd order, 5 point Savitzky-Golay differentiation 
# filter.

# Also provided are symbolic time series resulting from the univariate 
# discretization of the foot contact and muscle signals and the multivariate 
# discretization of the angle signals described in the publication given below.

# Provided by:
# Hoos, O., Department of Sports Medicine, Philipps-University Marburg, Germany
# Mörchen, F., Department of Mathematics and Computer Science, Philipps-University Marburg, Germany

# Please cite:
# Mörchen, F., Ultsch, A., Hoos, O.: 
# Extracting interpretable muscle activation patterns with Time Series Knowledge Mining
# International Journal of Knowledge-Based & Intelligent Engineering Systems (2005)

# Contact:
# fabian@informatik.uni-marburg.de
# -------------------------------------------------------------------------------- 

# column headers follow
Time Trigger AngleAnkl AngleKnee AngleHip SpeedAnkl SpeedKnee SpeedHip MedialGastrocnemius VastusMedialis GluteusMaximus DiscretizedTrigger DiscretizedMovement DiscretizedMedialGastrocnemius DiscretizedVastusMedialis DiscretizedGluteusMaximus
100 1.802700E-01 3.101474E-01 3.927466E-01 2.745807E-01 3.077424E-01 5.416482E-01 5.641081E-01 -1.751821E+01 -1.251310E+01 -1.190623E+01 2.000000E+00 1.000000E+00 2.000000E+00 3.000000E+00 3.000000E+00
101 1.802700E-01 3.100062E-01 3.926295E-01 2.750869E-01 3.070360E-01 5.414808E-01 5.623008E-01 -1.537639E+01 -1.268122E+01 -1.132282E+01 2.000000E+00 1.000000E+00 3.000000E+00 3.000000E+00 3.000000E+00
102 1.802700E-01 3.098539E-01 3.925138E-01 2.756509E-01 3.061899E-01 5.411974E-01 5.601301E-01 -1.290251E+01 -1.453410E+01 -1.075755E+01 2.000000E+00 1.000000E+00 3.000000E+00 3.000000E+00 3.000000E+00
103 1.801800E-01 3.096845E-01 3.923917E-01 2.762885E-01 3.052309E-01 5.408107E-01 5.574608E-01 -1.246311E+01 -1.539988E+01 -1.040985E+01 2.000000E+00 1.000000E+00 3.000000E+00 2.000000E+00 3.000000E+00
104 1.801800E-01 3.095033E-01 3.922661E-01 2.769453E-01 3.042063E-01 5.404442E-01 5.542224E-01 -1.391350E+01 -1.472406E+01 -1.067816E+01 2.000000E+00 1.000000E+00 3.000000E+00 3.000000E+00 3.000000E+00
105 1.801800E-01 3.093248E-01 3.921393E-01 2.776057E-01 3.030755E-01 5.402288E-01 5.503706E-01 -1.543489E+01 -1.521319E+01 -1.104692E+01 2.000000E+00 1.000000E+00 3.000000E+00 2.000000E+00 3.000000E+00
106 1.801800E-01 3.091612E-01 3.920133E-01 2.782097E-01 3.017926E-01 5.402065E-01 5.461032E-01 -1.582497E+01 -1.600450E+01 -1.113704E+01 2.000000E+00 1.000000E+00 3.000000E+00 2.000000E+00 3.000000E+00
107 1.802700E-01 3.089733E-01 3.918797E-01 2.787207E-01 3.004122E-01 5.403933E-01 5.417135E-01 -1.512746E+01 -1.655201E+01 -1.081399E+01 2.000000E+00 1.000000E+00 3.000000E+00 2.000000E+00 3.000000E+00
108 1.801800E-01 3.087187E-01 3.917212E-01 2.791608E-01 2.990175E-01 5.408109E-01 5.369888E-01 -1.583269E+01 -1.635995E+01 -1.068140E+01 2.000000E+00 1.000000E+00 3.000000E+00 2.000000E+00 3.000000E+00
109 1.801800E-01 3.084208E-01 3.915339E-01 2.795389E-01 2.976644E-01 5.414386E-01 5.316401E-01 -1.679225E+01 -1.600914E+01 -1.087252E+01 2.000000E+00 1.000000E+00 3.000000E+00 2.000000E+00 3.000000E+00
110 1.800800E-01 3.081102E-01 3.913446E-01 2.798887E-01 2.963858E-01 5.421868E-01 5.262302E-01 -1.700792E+01 -1.710309E+01 -1.099554E+01 2.000000E+00 1.000000E+00 2.000000E+00 2.000000E+00 3.000000E+00
111 1.801800E-01 3.077843E-01 3.911860E-01 2.802065E-01 2.952415E-01 5.429492E-01 5.217306E-01 -1.718192E+01 -1.818613E+01 -1.087143E+01 2.000000E+00 1.000000E+00 2.000000E+00 2.000000E+00 3.000000E+00
112 1.801800E-01 3.074223E-01 3.910657E-01 2.804822E-01 2.943413E-01 5.436484E-01 5.186705E-01 -1.869830E+01 -1.793486E+01 -1.065086E+01 2.000000E+00 1.000000E+00 1.000000E+00 2.000000E+00 3.000000E+00
113 1.802700E-01 3.070253E-01 3.909985E-01 2.807623E-01 2.937659E-01 5.442510E-01 5.170618E-01 -1.651525E+01 -1.747319E+01 -1.056955E+01 2.000000E+00 1.000000E+00 3.000000E+00 2.000000E+00 3.000000E+00
114 1.800800E-01 3.066328E-01 3.909871E-01 2.810660E-01 2.935304E-01 5.447394E-01 5.164173E-01 -1.422349E+01 -1.742571E+01 -1.047782E+01 2.000000E+00 1.000000E+00 3.000000E+00 2.000000E+00 3.000000E+00
115 1.801800E-01 3.062598E-01 3.909939E-01 2.813463E-01 2.935630E-01 5.450465E-01 5.162378E-01 -1.511224E+01 -1.645497E+01 -1.004039E+01 2.000000E+00 1.000000E+00 3.000000E+00 2.000000E+00 3.000000E+00
116 1.802700E-01 3.058904E-01 3.909861E-01 2.815811E-01 2.937451E-01 5.450655E-01 5.165033E-01 -1.671103E+01 -1.452441E+01 -9.481611E+00 2.000000E+00 1.000000E+00 3.000000E+00 3.000000E+00 3.000000E+00
117 1.802700E-01 3.055205E-01 3.909459E-01 2.818492E-01 2.940359E-01 5.446969E-01 5.171775E-01 -1.756816E+01 -1.292465E+01 -9.234987E+00 2.000000E+00 1.000000E+00 2.000000E+00 3.000000E+00 3.000000E+00
118 1.802700E-01 3.051744E-01 3.908689E-01 2.822295E-01 2.944262E-01 5.439115E-01 5.181009E-01 -1.686382E+01 -1.170973E+01 -9.242144E+00 2.000000E+00 1.000000E+00 2.000000E+00 3.000000E+00 3.000000E+00
119 1.803700E-01 3.048815E-01 3.907621E-01 2.826813E-01 2.948348E-01 5.427476E-01 5.191197E-01 -1.479915E+01 -1.099304E+01 -9.219239E+00 2.000000E+00 1.000000E+00 3.000000E+00 3.000000E+00 3.000000E+00
120 1.802700E-01 3.046173E-01 3.906422E-01 2.831024E-01 2.951435E-01 5.412677E-01 5.200101E-01 -1.361706E+01 -1.111761E+01 -9.184239E+00 2.000000E+00 1.000000E+00 3.000000E+00 3.000000E+00 3.000000E+00
121 1.802700E-01 3.043327E-01 3.905131E-01 2.834343E-01 2.952690E-01 5.395991E-01 5.205857E-01 -1.279164E+01 -1.153848E+01 -9.309639E+00 2.000000E+00 1.000000E+00 3.000000E+00 3.000000E+00 3.000000E+00
122 1.801800E-01 3.040161E-01 3.903577E-01 2.837108E-01 2.951935E-01 5.379066E-01 5.205701E-01 -1.175706E+01 -1.203524E+01 -9.627862E+00 2.000000E+00 1.000000E+00 3.000000E+00 3.000000E+00 3.000000E+00
123 1.802700E-01 3.036873E-01 3.901723E-01 2.840301E-01 2.949455E-01 5.362639E-01 5.195347E-01 -1.098846E+01 -1.259590E+01 -1.005443E+01 2.000000E+00 1.000000E+00 3.000000E+00 3.000000E+00 3.000000E+00
124 1.802700E-01 3.033732E-01 3.899645E-01 2.843940E-01 2.945738E-01 5.346621E-01 5.172967E-01 -1.095786E+01 -1.302623E+01 -1.040783E+01 2.000000E+00 1.000000E+00 3.000000E+00 3.000000E+00 3.000000E+00
125 1.801800E-01 3.030659E-01 3.897409E-01 2.847490E-01 2.941351E-01 5.330963E-01 5.140427E-01 -1.046320E+01 -1.312648E+01 -1.056428E+01 2.000000E+00 1.000000E+00 3.000000E+00 3.000000E+00 3.000000E+00
126 1.802700E-01 3.027286E-01 3.894971E-01 2.851036E-01 2.937072E-01 5.315991E-01 5.099976E-01 -9.117811E+00 -1.297058E+01 -1.094133E+01 2.000000E+00 1.000000E+00 3.000000E+00 3.000000E+00 3.000000E+00
127 1.801800E-01 3.023610E-01 3.892298E-01 2.854565E-01 2.934263E-01 5.302307E-01 5.052570E-01 -8.074214E+00 -1.254688E+01 -1.130500E+01 2.000000E+00 1.000000E+00 3.000000E+00 3.000000E+00 3.000000E+00
128 1.801800E-01 3.019834E-01 3.889466E-01 2.857697E-01 2.934059E-01 5.290162E-01 4.997642E-01 -7.751078E+00 -1.193181E+01 -1.154557E+01 2.000000E+00 1.000000E+00 3.000000E+00 3.000000E+00 3.000000E+00
129 1.801800E-01 3.015929E-01 3.886542E-01 2.859927E-01 2.936434E-01 5.279215E-01 4.934788E-01 -8.511059E+00 -1.144553E+01 -1.177598E+01 2.000000E+00 1.000000E+00 3.000000E+00 3.000000E+00 3.000000E+00
130 1.802700E-01 3.011972E-01 3.883389E-01 2.861257E-01 2.940861E-01 5.268867E-01 4.864692E-01 -9.539538E+00 -1.120990E+01 -1.193294E+01 2.000000E+00 1.000000E+00 3.000000E+00 3.000000E+00 3.000000E+00
131 1.802700E-01 3.008230E-01 3.879897E-01 2.862447E-01 2.947112E-01 5.258856E-01 4.789462E-01 -8.986864E+00 -1.122208E+01 -1.187117E+01 2.000000E+00 1.000000E+00 3.000000E+00 3.000000E+00 3.000000E+00
132 1.801800E-01 3.004823E-01 3.876262E-01 2.863550E-01 2.955260E-01 5.249383E-01 4.713675E-01 -8.537436E+00 -1.162208E+01 -1.161816E+01 2.000000E+00 1.000000E+00 3.000000E+00 3.000000E+00 3.000000E+00
133 1.801800E-01 3.001644E-01 3.872755E-01 2.863697E-01 2.964781E-01 5.240452E-01 4.641317E-01 -9.008472E+00 -1.240603E+01 -1.133389E+01 2.000000E+00 1.000000E+00 3.000000E+00 3.000000E+00 3.000000E+00
134 1.801800E-01 2.998703E-01 3.869509E-01 2.862740E-01 2.974142E-01 5.231535E-01 4.574439E-01 -9.908320E+00 -1.323830E+01 -1.095584E+01 2.000000E+00 1.000000E+00 3.000000E+00 3.000000E+00 3.000000E+00
135 1.800800E-01 2.996104E-01 3.866230E-01 2.861212E-01 2.981560E-01 5.222290E-01 4.514809E-01 -1.027775E+01 -1.391670E+01 -1.064765E+01 2.000000E+00 1.000000E+00 3.000000E+00 3.000000E+00 3.000000E+00
136 1.802700E-01 2.993729E-01 3.862585E-01 2.859785E-01 2.985806E-01 5.212932E-01 4.463598E-01 -1.139159E+01 -1.439208E+01 -1.054896E+01 2.000000E+00 1.000000E+00 3.000000E+00 3.000000E+00 3.000000E+00
137 1.802700E-01 2.991475E-01 3.858592E-01 2.858479E-01 2.986114E-01 5.203718E-01 4.420533E-01 -1.325308E+01 -1.484872E+01 -1.067136E+01 2.000000E+00 1.000000E+00 3.000000E+00 3.000000E+00 3.000000E+00
138 1.801800E-01 2.989355E-01 3.854460E-01 2.856623E-01 2.981962E-01 5.194729E-01 4.383745E-01 -1.458127E+01 -1.555544E+01 -1.049080E+01 2.000000E+00 1.000000E+00 3.000000E+00 2.000000E+00 3.000000E+00
139 1.801800E-01 2.987278E-01 3.850361E-01 2.854659E-01 2.973618E-01 5.185846E-01 4.353622E-01 -1.561870E+01 -1.661753E+01 -9.935681E+00 2.000000E+00 1.000000E+00 3.000000E+00 2.000000E+00 3.000000E+00
140 1.801800E-01 2.984965E-01 3.846157E-01 2.852975E-01 2.962010E-01 5.176971E-01 4.334075E-01 -1.590828E+01 -1.780818E+01 -9.409599E+00 2.000000E+00 1.000000E+00 3.000000E+00 2.000000E+00 3.000000E+00
141 1.801800E-01 2.982198E-01 3.841628E-01 2.851052E-01 2.948052E-01 5.168721E-01 4.325571E-01 -1.460480E+01 -1.857495E+01 -9.234479E+00 2.000000E+00 1.000000E+00 3.000000E+00 2.000000E+00 3.000000E+00
142 1.802700E-01 2.978809E-01 3.836893E-01 2.848802E-01 2.932630E-01 5.162157E-01 4.323178E-01 -1.472007E+01 -1.885196E+01 -9.365338E+00 2.000000E+00 1.000000E+00 3.000000E+00 2.000000E+00 3.000000E+00
143 1.801800E-01 2.974849E-01 3.832156E-01 2.846467E-01 2.916641E-01 5.157450E-01 4.322452E-01 -1.544736E+01 -1.897194E+01 -9.885302E+00 2.000000E+00 1.000000E+00 3.000000E+00 2.000000E+00 3.000000E+00
144 1.801800E-01 2.970558E-01 3.827385E-01 2.844316E-01 2.900837E-01 5.153990E-01 4.324172E-01 -1.742843E+01 -1.876496E+01 -1.057078E+01 2.000000E+00 1.000000E+00 2.000000E+00 2.000000E+00 3.000000E+00
145 1.801800E-01 2.965962E-01 3.822653E-01 2.842107E-01 2.885834E-01 5.151298E-01 4.331128E-01 -1.820842E+01 -1.852951E+01 -1.076866E+01 2.000000E+00 1.000000E+00 2.000000E+00 2.000000E+00 3.000000E+00
146 1.801800E-01 2.961187E-01 3.818024E-01 2.839648E-01 2.872150E-01 5.149191E-01 4.342319E-01 -1.722392E+01 -1.868138E+01 -1.056212E+01 2.000000E+00 1.000000E+00 2.000000E+00 2.000000E+00 3.000000E+00
147 1.801800E-01 2.956432E-01 3.813342E-01 2.837729E-01 2.860578E-01 5.147794E-01 4.357294E-01 -1.689311E+01 -1.845763E+01 -1.043217E+01 2.000000E+00 1.000000E+00 2.000000E+00 2.000000E+00 3.000000E+00
148 1.801800E-01 2.951762E-01 3.808685E-01 2.836585E-01 2.852035E-01 5.147302E-01 4.376183E-01 -1.827411E+01 -1.776879E+01 -1.034783E+01 2.000000E+00 1.000000E+00 2.000000E+00 2.000000E+00 3.000000E+00
149 1.800800E-01 2.947132E-01 3.804116E-01 2.835307E-01 2.847057E-01 5.147462E-01 4.396119E-01 -1.937619E+01 -1.686781E+01 -1.018204E+01 2.000000E+00 1.000000E+00 1.000000E+00 2.000000E+00 3.000000E+00
150 1.802700E-01 2.942400E-01 3.799481E-01 2.833543E-01 2.845615E-01 5.148024E-01 4.415105E-01 -1.988964E+01 -1.591599E+01 -1.009413E+01 2.000000E+00 1.000000E+00 1.000000E+00 2.000000E+00 3.000000E+00
151 1.801800E-01 2.937552E-01 3.794758E-01 2.831823E-01 2.847312E-01 5.148999E-01 4.432006E-01 -2.064451E+01 -1.454321E+01 -1.020056E+01 2.000000E+00 1.000000E+00 1.000000E+00 3.000000E+00 3.000000E+00
152 1.802700E-01 2.932576E-01 3.790028E-01 2.830606E-01 2.851826E-01 5.149649E-01 4.446068E-01 -2.065957E+01 -1.335983E+01 -1.042833E+01 2.000000E+00 1.000000E+00 1.000000E+00 3.000000E+00 3.000000E+00
153 1.802700E-01 2.927364E-01 3.785260E-01 2.829786E-01 2.858760E-01 5.149123E-01 4.456952E-01 -2.112701E+01 -1.286742E+01 -1.091285E+01 2.000000E+00 1.000000E+00 1.000000E+00 3.000000E+00 3.000000E+00
154 1.803700E-01 2.922131E-01 3.780425E-01 2.829126E-01 2.867498E-01 5.147321E-01 4.465637E-01 -2.021773E+01 -1.268708E+01 -1.156083E+01 2.000000E+00 1.000000E+00 1.000000E+00 3.000000E+00 3.000000E+00
155 1.802700E-01 2.917258E-01 3.775708E-01 2.828364E-01 2.877305E-01 5.144119E-01 4.477046E-01 -1.944297E+01 -1.248763E+01 -1.260367E+01 2.000000E+00 1.000000E+00 1.000000E+00 3.000000E+00 3.000000E+00
156 1.801800E-01 2.912855E-01 3.771157E-01 2.827303E-01 2.887938E-01 5.139413E-01 4.494558E-01 -2.015360E+01 -1.219988E+01 -1.322589E+01 2.000000E+00 1.000000E+00 1.000000E+00 3.000000E+00 3.000000E+00
157 1.801800E-01 2.908912E-01 3.766709E-01 2.826249E-01 2.899350E-01 5.133346E-01 4.514894E-01 -2.068333E+01 -1.196014E+01 -1.346378E+01 2.000000E+00 1.000000E+00 1.000000E+00 3.000000E+00 2.000000E+00
158 1.802700E-01 2.905309E-01 3.762310E-01 2.825183E-01 2.910910E-01 5.126020E-01 4.533236E-01 -2.128217E+01 -1.198238E+01 -1.358465E+01 2.000000E+00 1.000000E+00 1.000000E+00 3.000000E+00 2.000000E+00
159 1.802700E-01 2.901943E-01 3.757617E-01 2.823904E-01 2.921869E-01 5.117469E-01 4.549468E-01 -2.152444E+01 -1.210684E+01 -1.352111E+01 2.000000E+00 1.000000E+00 1.000000E+00 3.000000E+00 2.000000E+00
160 1.802700E-01 2.898824E-01 3.752449E-01 2.822731E-01 2.931388E-01 5.107701E-01 4.565408E-01 -2.117739E+01 -1.197272E+01 -1.322572E+01 2.000000E+00 1.000000E+00 1.000000E+00 3.000000E+00 3.000000E+00
161 1.801800E-01 2.895757E-01 3.747050E-01 2.822233E-01 2.938208E-01 5.096728E-01 4.579567E-01 -2.021772E+01 -1.193778E+01 -1.316200E+01 2.000000E+00 1.000000E+00 1.000000E+00 3.000000E+00 3.000000E+00
162 1.802700E-01 2.892476E-01 3.741536E-01 2.822608E-01 2.941157E-01 5.084961E-01 4.589620E-01 -1.917470E+01 -1.211870E+01 -1.323339E+01 2.000000E+00 1.000000E+00 1.000000E+00 3.000000E+00 3.000000E+00
